Name,Number of Sentence,Number of Words,Number of Paragraph,Words per Sentence (%),Number of Characters,Character per Words (%),Sentence per Paragraph (%),Number of Sylables,Syllables per Word (%),Number of Monosyllable,Monosyllable per Word (%),Disyllable per Word (%),Number of Complex Words,Complex Words per Word (%),Number of Advance Words,Advance Words per Words (%),Number of Common Words,Common Words per Words (%),Verbs per Words (%),Verbs per Sentences (%),Ditransverbs per Sentences (%),Transverbs per Sentences (%),Intransitverbs per Sentences (%),Auxverbs per Sentences (%),Conjuctions per Sentences (%),Nouns per Words (%),Nouns per Sentence (%),Puctuation per Sentence,Adjective per Word (%),Adjective per Sentence (%),Adpositions per Sentences (%),Adverb per Sentence (%),Pronoun per Sentence (%),Number of Unknown Words,Unknown Words per Words (%),Dale Chall Score,Flesch Reading Ease Score,New Flesch Reading Ease Score,Gunning Fog Score,SMOG Score,FORCAST Score,ARI Score,Coleman Liau Score,LIX Score,RIX Score,Powers Sumner Kearl,Spache Score,Linsear Write,Future Perfect Progressive (%),Past Simple (%),Present Perfect Progressive (%),Future Progressive (%),Past Perfect Progressive (%),Past Progressive (%),Future Simple (%),Future Perfect (%),Present Simple (%),Past Perfect (%),Present Progressive (%),Present Perfect (%),Level
Journey-to-the-center-of-the-Earth,902,3136,671,347.67184035476714,14270,455.0382653061225,134.42622950819668,4642,148.02295918367346,2054,65.49744897959185,22.64030612244898,372,11.862244897959185,41,1.3073979591836735,1507,48.05484693877551,21.301020408163268,74.05764966740577,0.0,22.28381374722839,51.77383592017738,0.22172949002217296,0.0,32.9719387755102,114.6341463414634,0.22172949002217296,11.224489795918366,39.02439024390244,4.878048780487805,10.08869179600887,23.94678492239468,0,0.0,8.374584901183312,78.07870735101137,69.68455173876646,6.135585320602742,6.217260528170271,10.175382653061224,1.740661497692205,2.4424744897959165,15.338963301506855,15.338963301506855,9.802633334653152,5.339185477849677,14.203558673469384,0.22172949002217296,25.166297117516628,0.0,0.11086474501108648,0.7760532150776054,1.441241685144124,4.545454545454546,0.3325942350332594,52.66075388026608,13.525498891352553,1.2195121951219512,0.0,1
Marcel and the Shakespeare Letters,442,1313,357,297.0588235294117,5427,413.32825590251326,123.8095238095238,1820,138.61386138613858,892,67.93602437166794,25.666412795125666,84,6.397562833206397,5,0.3808073115003808,388,29.55064737242955,21.62985529322163,64.25339366515837,0.0,14.25339366515837,50.0,0.0,0.0,20.335110434120335,60.40723981900452,0.0,8.377760853008377,24.8868778280543,0.22624434389140274,3.3936651583710407,50.2262443438914,0,0.0,11.271293956363964,86.55252620850322,74.0975559114735,3.747260427400207,6.101482337286417,9.80959634424981,-0.47694502934456295,-1.4606549885757811,9.368151068500515,9.368151068500515,9.33514245777519,6.795288091931366,6.741919268849963,0.0,1.5837104072398192,0.0,0.0,0.0,0.0,4.524886877828054,0.0,88.46153846153845,0.4524886877828055,4.977375565610863,0.0,1
"O. Henry - New Yorkers - Short Stories (Oxford Bookworms Library 2)-Oxford University Press, USA (2000)",745,3239,619,434.7651006711409,14582,450.2006792219821,120.35541195476576,4769,147.23680148193887,2069,63.87774004322322,26.82926829268293,301,9.292991664093856,35,1.0805804260574252,1664,51.37388082741587,23.711021920345782,103.08724832214766,0.0,35.03355704697986,68.05369127516778,0.0,0.0,29.360913862303185,127.6510067114094,0.8053691275167786,11.083667798703306,48.187919463087255,3.624161073825504,15.838926174496644,47.38255033557047,1,0.030873726458783574,7.89370770728392,77.85980017446767,66.21064055730186,5.456257068322107,6.291910993182081,10.418338993516516,1.9482774947110608,3.8635257795615954,13.640642670805265,13.640642670805265,9.834621715750368,5.1724075439639785,17.382787897499227,0.1342281879194631,35.97315436241611,0.0,0.1342281879194631,1.74496644295302,1.6107382550335572,4.429530201342282,0.0,32.75167785234899,22.684563758389267,0.5369127516778524,0.0,1
"O. Henry - The Gift of the Magi and Other Stories (Penguin Readers, Level 1)-Pearson ESL (2001)",847,2913,662,343.9197166469893,11985,411.4315139031926,127.94561933534744,3956,135.80501201510472,2074,71.19807758324752,22.588396841743908,181,6.213525575008582,8,0.2746309646412633,1146,39.34088568486096,18.74356333676622,64.46280991735537,0.0,17.237308146399055,47.22550177095631,0.0,0.0,28.8705801579128,99.29161747343565,0.0,9.23446618606248,31.759149940968122,1.062573789846517,3.0696576151121606,55.84415584415584,0,0.0,9.74865832981736,88.4531747112545,78.83794093164582,3.861089096591391,5.9394857926218565,9.320288362512873,-0.3319771119246795,-0.21448678338482807,9.652722741478476,9.652722741478476,9.24379758623862,6.049190230984258,13.161864057672505,0.2361275088547816,4.368358913813459,0.0,0.0,0.11806375442739075,0.0,7.910271546635183,0.0,84.06139315230223,1.2987012987012987,2.007083825265644,0.0,1
The Coldest Place on Earth -Oxford University Press (2000),794,3483,741,438.66498740554164,15364,441.1139821992535,107.15249662618082,4896,140.56847545219634,2345,67.32701693942003,25.92592592592593,235,6.747057134654034,36,1.03359173126615,1471,42.23370657479185,17.772035601492966,77.95969773299748,0.0,18.1360201511335,59.823677581863976,0.0,0.0,29.112833763996555,127.70780856423174,0.6297229219143577,9.589434395635946,42.065491183879104,3.022670025188917,13.350125944584384,71.7884130982368,1,0.02871088142405972,9.338875565593515,83.46162014527562,71.68645046396641,4.45348280348378,6.130797808574357,9.900947459086996,1.5397934986125463,3.3897559575078944,11.13370700870945,11.13370700870945,9.534246993276446,5.926620695627774,18.0620241171404,0.12594458438287154,39.294710327455924,0.0,0.0,0.3778337531486146,0.0,5.289672544080604,0.2518891687657431,37.531486146095716,15.743073047858939,1.3853904282115868,0.0,1
The Fisherman and His Wife,355,1384,266,389.85915492957747,6313,456.14161849710985,133.4586466165413,1965,141.97976878612718,932,67.34104046242774,25.505780346820806,99,7.1531791907514455,12,0.8670520231213872,671,48.482658959537574,27.02312138728324,105.35211267605636,0.0,18.028169014084508,87.32394366197181,0.28169014084507044,0.0,34.60982658959538,134.92957746478874,0.0,9.754335260115608,38.02816901408449,3.380281690140845,13.521126760563376,12.957746478873238,0,0.0,8.327958291134088,82.76304518440121,72.20425327688677,4.420708296018888,6.130125853902952,9.898843930635838,2.00356600586176,3.4286416184971067,11.051770740047221,11.051770740047221,9.560489902303996,5.355151542782708,7.062145953757224,0.28169014084507044,17.464788732394368,0.0,0.28169014084507044,2.5352112676056344,6.478873239436619,7.042253521126763,0.8450704225352111,47.323943661971825,15.774647887323944,1.971830985915493,0.0,1
The Frog King or Iron Heinrich,105,583,80,555.2380952380952,2880,493.9965694682676,131.25,864,148.19897084048029,356,61.06346483704974,30.53173241852487,49,8.404802744425385,12,2.058319039451116,347,59.519725557461406,32.59005145797599,180.952380952381,0.0,67.6190476190476,111.42857142857143,0.0,0.0,35.334476843910814,196.19047619047612,0.0,10.4631217838765,58.0952380952381,3.8095238095238098,20.952380952380953,13.333333333333336,0,0.0,6.667233429714939,75.82300400228705,60.48781360777588,5.5828734787225365,6.417742024917192,10.840480274442537,4.6134288981458775,7.915951972555746,13.957183696806338,13.957183696806338,9.97212841133709,4.650220599526259,3.5625214408233274,0.0,18.095238095238095,0.0,0.9523809523809524,4.761904761904762,7.6190476190476195,3.8095238095238098,0.0,38.095238095238095,25.71428571428571,0.9523809523809524,0.0,1
"(Oxford Bookworms Library) O. Henry - New Yorkers - Short Stories (Oxford Bookworms Library 2)-Oxford University Press, USA (2000)",745,3239,619,434.7651006711409,14582,450.2006792219821,120.35541195476576,4769,147.23680148193887,2069,63.87774004322322,26.82926829268293,301,9.292991664093856,35,1.0805804260574252,1664,51.37388082741587,23.711021920345782,103.08724832214766,0.0,35.03355704697986,68.05369127516778,0.0,0.0,29.360913862303185,127.6510067114094,0.8053691275167786,11.083667798703306,48.187919463087255,3.6241610738255043,15.838926174496644,47.38255033557047,1,0.030873726458783574,7.89370770728392,77.85980017446767,66.21064055730186,5.456257068322107,6.291910993182081,10.418338993516516,1.9482774947110608,3.8635257795615954,13.640642670805265,13.640642670805265,9.834621715750368,5.1724075439639785,17.382787897499227,0.1342281879194631,35.97315436241611,0.0,0.1342281879194631,1.74496644295302,1.6107382550335572,4.429530201342282,0.0,32.75167785234899,22.684563758389267,0.5369127516778524,0.0,1
"(Penguin Readers, Level 1) Robert Louis(Author) _ Wyeth, N. C.(Illustrator)_ Avi(Illustrator) Stevenson - The Adventures of Tom Sawyer-Pearson ESL (2000)",737,3204,736,434.73541383989135,12844,400.8739076154807,100.13586956521738,4236,132.20973782771534,2374,74.0948813982522,20.380774032459424,177,5.52434456928839,2,0.062421972534332085,1175,36.6729088639201,22.284644194756552,96.87924016282228,0.0,16.689280868385346,80.1899592944369,0.0,0.0,22.440699126092387,97.55766621438265,1.0854816824966078,5.399500624219725,23.473541383989144,1.4925373134328357,21.302578018995927,85.61736770691995,1,0.03121098626716604,10.214976455651604,90.57299734727793,82.54815090533035,3.948679483074922,5.7877474025679465,8.885767790262172,-0.3751618821114064,0.9626466916354524,9.871698707687305,9.871698707687305,9.150867223128484,6.377851323904822,13.061657303370788,0.0,44.369063772048854,0.0,0.0,1.2211668928086838,0.8141112618724559,5.698778833107191,0.0,30.66485753052917,15.87516960651289,1.35685210312076,0.0,1
Five Children and It [3],972,2860,589,294.23868312757196,14349,501.7132867132866,165.02546689303904,4240,148.25174825174827,1782,62.30769230769231,29.44055944055944,236,8.251748251748253,35,1.2237762237762235,1353,47.30769230769231,26.71328671328672,78.60082304526749,0.0,21.39917695473251,57.20164609053497,0.51440329218107,0.102880658436214,23.88111888111889,70.26748971193416,0.30864197530864196,10.524475524475523,30.96707818930041,2.4691358024691357,10.802469135802466,34.67078189300412,4,0.13986013986013987,8.466057771446662,78.42749834527612,65.12647736625516,4.477654033209589,6.3626912299068294,10.653846153846152,3.671889219833663,3.640881118881115,11.194135083023973,11.194135083023973,9.771472240927796,5.335798037353593,16.842475524475525,0.205761316872428,33.53909465020576,0.0,0.0,0.9259259259259258,2.1604938271604937,5.246913580246913,0.102880658436214,43.312757201646086,13.477366255144036,1.02880658436214,0.0,2
Ghost of Geenny Castle,708,2741,610,387.1468926553672,11611,423.6045238963881,116.0655737704918,3666,133.74680773440352,1954,71.28785114921563,24.990879241152864,102,3.7212696096315216,31,1.130974097044874,1310,47.792776358993066,23.67748996716527,91.66666666666666,0.0,24.15254237288136,67.37288135593221,0.14124293785310735,0.0,26.52316672747173,102.68361581920904,0.0,7.077708865377599,27.401129943502823,3.6723163841807906,11.440677966101697,61.299435028248574,0,0.0,8.435545471672057,89.75565969624266,78.54273302714381,3.0370954144740776,5.9349011321057,9.306822327617656,0.4575075387967189,1.462269244801167,7.592738536185192,7.592738536185192,9.183780034401234,5.4084400786755635,13.701116380882892,0.14124293785310735,41.10169491525424,0.0,0.0,1.1299435028248588,1.5536723163841808,5.508474576271187,0.0,32.6271186440678,16.242937853107346,1.6949152542372878,0.0,2
